City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
393,angaur state,6.906,134.13,28.78,82,100,4.81,PW,1713618158
394,copala,16.65,-98.9833,24.62,59,15,2.12,MX,1713618158
395,daru,-9.0763,143.2092,26.79,84,100,2.03,PG,1713618159
396,nsanje,-16.92,35.262,32.81,36,5,2.88,MW,1713618160
397,st. john's,47.5649,-52.7093,5.08,74,20,3.13,CA,1713618008
398,queenstown,-31.8976,26.8753,28.95,26,30,8.14,ZA,1713618161
399,maceio,-9.6658,-35.7353,28.69,89,75,2.57,BR,1713618017
400,brokopondo,4.75,-55.1667,27.73,70,65,3.33,SR,1713618162
401,udachny,66.4167,112.4,-0.31,89,100,3.5,RU,1713618163
402,new plymouth,-39.0667,174.0833,15.45,92,100,0.7,NZ,1713618163
403,san agustin de valle fertil,-30.6335,-67.4682,21.97,47,2,1.21,AR,1713618164
404,port douglas,-16.4833,145.4667,25.33,85,100,0.57,AU,1713618165
405,columbia,34.0007,-81.0348,23.0,81,75,3.09,US,1713618165
406,kanel,15.4916,-13.1763,40.0,16,0,2.06,SN,1713618166
407,santa cruz,-17.8,-63.1667,25.03,73,0,4.63,BO,1713618167
408,baruun-urt,46.6806,113.2792,13.49,39,100,4.81,MN,1713618167
409,ust'-kulom,61.6864,53.6902,11.06,68,2,4.67,RU,1713618168
410,rabigh,22.7986,39.0349,30.63,37,0,7.0,SA,1713618169
411,xining,36.6167,101.7667,9.88,61,100,4.99,CN,1713618109
412,scottburgh,-30.2867,30.7532,26.01,62,8,2.92,ZA,1713618170
413,porto novo,6.4965,2.6036,32.9,53,81,5.13,BJ,1713618033
414,san ignacio,17.1561,-89.0714,25.08,83,0,2.06,BZ,1713618171
415,sisimiut,66.9395,-53.6735,-3.43,82,100,12.11,GL,1713618172
416,noshiro,40.2039,140.0242,7.03,82,14,3.77,JP,1713618172
417,guane,22.2025,-84.0875,25.13,71,0,4.84,CU,1713618173
418,woolgoolga,-30.1106,153.2007,16.93,81,100,8.46,AU,1713618174
419,nakonde,-9.3421,32.745,20.47,85,100,3.18,ZM,1713618174
420,port lincoln,-34.7333,135.8667,14.23,79,0,2.71,AU,1713618175
421,sao miguel do araguaia,-13.275,-50.1628,26.75,80,92,1.7,BR,1713618176
422,sungai penuh,-2.0833,101.3833,20.11,97,100,0.5,ID,1713618176
423,mil'kovo,55.6078,37.7956,13.02,44,10,4.47,RU,1713618177
424,knyaze-volkonskoye,48.4642,135.4567,6.11,79,100,3.58,RU,1713618178
425,playa blanca,28.8643,-13.8281,24.06,75,100,5.56,ES,1713618178
426,talnakh,69.4865,88.3972,-14.33,96,90,0.76,RU,1713618180
427,kerikeri,-35.2268,173.9474,17.17,92,100,2.42,NZ,1713618180
428,kapa'a,22.0752,-159.319,22.99,86,67,0.45,US,1713618181
429,caarapo,-22.6342,-54.8222,21.89,48,0,3.09,BR,1713618182
430,salekhard,66.53,66.6019,-12.56,91,100,4.92,RU,1713618182
431,ust'-charyshskaya pristan',52.3934,83.6635,9.99,40,6,3.56,RU,1713618183
432,cuenca,-2.8833,-78.9833,14.07,88,75,1.54,EC,1713618184
433,shagonar,51.5333,92.8,5.85,53,12,4.68,RU,1713618184
434,huaraz,-9.5333,-77.5333,13.15,75,87,1.8,PE,1713618185
435,poronaysk,49.2167,143.1167,3.55,94,100,2.17,RU,1713618186
436,mokopane,-24.1944,29.0097,29.74,20,0,3.54,ZA,1713618186
437,ulladulla,-35.35,150.4667,16.27,67,90,3.59,AU,1713618187
438,taro,-8.3862,115.28,25.0,100,78,0.19,ID,1713618188
439,francistown,-21.17,27.5079,30.85,22,0,4.83,BW,1713618188
440,panacan,9.2463,118.4082,27.28,79,14,3.02,PH,1713618189
441,santo antonio,-6.3106,-35.4789,25.52,89,100,2.86,BR,1713618190
442,tulun,54.5611,100.5792,0.78,93,97,5.09,RU,1713618190
443,motygino,58.1831,94.7592,4.32,93,100,4.47,RU,1713618191
444,altsasu,42.9,-2.1652,17.97,49,7,4.46,ES,1713618192
445,newnham,-41.3833,147.1333,9.81,93,76,3.09,AU,1713618193
446,puerto san jose,13.9256,-90.8244,26.46,82,100,1.53,GT,1713618193
447,qaisumah,28.3112,46.1273,36.98,16,0,2.57,SA,1713618194
448,narwana,29.6167,76.1167,32.65,19,22,6.31,IN,1713618195
449,pauini,-7.7136,-66.9764,26.37,87,100,0.21,BR,1713618195
450,qaryat suluq,31.6682,20.2521,21.92,36,0,6.86,LY,1713618196
451,klaksvik,62.2266,-6.589,6.51,96,100,7.78,FO,1713618197
452,west bay,19.3667,-81.4167,27.82,75,20,5.14,KY,1713618197
453,maba,24.6841,113.5984,18.88,62,100,1.27,CN,1713618198
454,haeju,38.0406,125.7147,12.69,71,100,4.49,KP,1713618199
455,tidjikja,18.5564,-11.4271,38.61,5,8,2.85,MR,1713618200
456,port sudan,19.6175,37.2164,31.05,41,0,5.04,SD,1713618200
457,vanimo,-2.6741,141.3028,26.78,86,24,1.32,PG,1713618201
458,noumea,-22.2763,166.4572,24.99,86,26,3.66,NC,1713617621
459,odda,60.0691,6.5457,9.32,71,95,4.68,NO,1713618203
460,grande prairie,55.1667,-118.8027,-6.9,68,0,1.54,CA,1713618129
461,greymouth,-42.4667,171.2,11.39,87,100,2.22,NZ,1713618063
462,antigonish,45.6169,-61.9986,5.01,88,100,2.68,CA,1713618205
463,sovetskaya gavan',48.9723,140.2878,5.06,95,100,1.59,RU,1713618206
464,axim,4.8699,-2.2405,31.4,63,98,3.5,GH,1713618206
465,hirara,24.8,125.2833,26.15,94,0,4.63,JP,1713618207
466,saint-pierre,-21.3393,55.4781,27.82,57,75,1.54,RE,1713618208
467,qarazhal,48.0078,70.7903,22.39,36,0,9.18,KZ,1713618208
468,caleta de carquin,-11.0925,-77.6267,21.03,84,38,3.16,PE,1713618209
469,ewo,-0.8725,14.8206,33.93,43,41,1.09,CG,1713618210
470,xinqing,48.2333,129.5,4.9,64,100,1.56,CN,1713618210
471,camarinas,43.1311,-9.1817,22.18,65,3,7.65,ES,1713618211
472,ndioum,16.5129,-14.6471,37.94,4,66,2.54,SN,1713618212
473,bodo,67.28,14.405,5.02,42,0,3.09,NO,1713618212
474,devils lake,48.1128,-98.8651,-3.01,82,0,5.66,US,1713618213
475,antonio enes,-16.2325,39.9086,28.57,63,16,6.62,MZ,1713618214
476,alappuzha,9.49,76.3264,30.28,72,72,4.3,IN,1713618214
477,pudozh,61.8099,36.5345,0.53,94,100,6.71,RU,1713618215
478,callao,-12.0667,-77.15,24.29,83,0,3.6,PE,1713618216
479,lampasas,31.2168,-98.2336,16.72,96,100,6.21,US,1713618216
480,lliria,39.6333,-0.6,22.49,39,0,4.63,ES,1713618217
481,labuan,5.2767,115.2417,28.2,88,20,0.0,MY,1713618218
482,onega,63.9061,38.1404,-1.56,96,100,4.53,RU,1713618218
483,macusani,-14.0833,-70.4333,5.41,66,6,1.93,PE,1713618219
484,arbelaez,4.2725,-74.4151,19.46,95,100,0.58,CO,1713618220
485,molde,62.7375,7.1591,7.06,87,75,2.06,NO,1713618220
486,calama,-22.4667,-68.9333,8.27,29,0,8.23,CL,1713618014
487,zilupe,56.3862,28.1217,8.8,61,81,3.91,LV,1713618222
488,turpan,42.9333,89.1667,28.0,13,0,1.64,CN,1713618222
489,maumere,-8.6199,122.2111,26.64,80,78,1.55,ID,1713618224
490,sedhiou,12.7081,-15.5569,41.48,10,91,1.66,SN,1713618224
491,bhabhua,25.05,83.6167,38.6,13,0,7.11,IN,1713618225
492,mocimboa,-11.3167,40.35,27.41,85,82,5.04,MZ,1713618226
493,bechar,31.6167,-2.2167,24.18,27,44,6.17,DZ,1713618226
494,taltal,-25.4,-70.4833,18.83,76,0,1.28,CL,1713618227
495,alofi,-19.0595,-169.9187,24.94,88,97,3.09,NU,1713618228
496,westport,41.1415,-73.3579,10.61,90,100,2.57,US,1713618204
497,vilhena,-12.7406,-60.1458,26.12,89,40,0.51,BR,1713618229
498,buulobarde,3.8538,45.5674,34.5,44,100,2.24,SO,1713618230
499,balkanabat,39.5108,54.3671,29.66,18,63,2.27,TM,1713618230
